name,type,power,accuracy,pp,species,priority
10まんボルト,でんき,95,100,15,特殊,0
Vジェネレート,ほのお,180,95,5,物理,0
アームハンマー,かくとう,100,90,10,物理,0
アイアンテール,はがね,100,75,15,物理,0
アイアンヘッド,はがね,80,100,15,物理,0
アイスボール,こおり,30,90,20,物理,0
あおいほのお,ほのお,130,85,5,特殊,0
アクアジェット,みず,40,100,20,物理,+1
アクアテール,みず,90,90,10,物理,0
アクアリング,みず,0,0,20,変化,0
あくうせつだん,ドラゴン,100,95,5,特殊,0
あくのはどう,あく,80,100,15,特殊,0
あくび,ノーマル,0,0,10,変化,0
あくまのキッス,ノーマル,0,75,10,変化,0
あくむ,ゴースト,0,100,15,変化,0
アクロバット,ひこう,55,100,15,物理,0
あさのひざし,ノーマル,0,0,5,変化,0
アシストパワー,エスパー,20,100,10,特殊,0
アシッドボム,どく,40,100,20,特殊,0
あてみなげ,かくとう,70,0,10,物理,-1
あなをほる,じめん,80,100,10,物理,0
あばれる,ノーマル,120,100,10,物理,0
アフロブレイク,ノーマル,120,100,15,物理,0
あまいかおり,ノーマル,0,100,20,変化,0
あまえる,ノーマル,0,100,20,変化,0
あまごい,みず,0,0,5,変化,0
あやしいかぜ,ゴースト,60,100,5,特殊,0
あやしいひかり,ゴースト,0,100,10,変化,0
あられ,こおり,0,0,10,変化,0
アロマセラピー,くさ,0,0,5,変化,0
あわ,みず,20,100,30,特殊,0
アンコール,ノーマル,0,100,5,変化,0
いあいぎり,ノーマル,50,95,30,物理,0
いえき,どく,0,100,10,変化,0
イカサマ,あく,95,100,15,物理,0
いかり,ノーマル,20,100,20,物理,0
いかりのこな,むし,0,0,20,変化,+3
いかりのまえば,ノーマル,1,90,10,物理,0
いたみわけ,ノーマル,0,100,20,変化,0
いちゃもん,あく,0,100,15,変化,0
いとをはく,むし,0,95,40,変化,0
いにしえのうた,ノーマル,75,100,10,特殊,0
いのちがけ,かくとう,1,100,5,特殊,0
いばる,ノーマル,0,90,15,変化,0
いびき,ノーマル,40,100,15,特殊,0
いやしのすず,ノーマル,0,0,5,変化,0
いやしのねがい,エスパー,0,0,10,変化,0
いやしのはどう,エスパー,0,0,10,変化,0
いやなおと,ノーマル,0,85,40,変化,0
いわおとし,いわ,50,90,15,物理,0
いわくだき,かくとう,40,100,15,物理,0
いわなだれ,いわ,75,90,10,物理,0
インファイト,かくとう,120,100,5,物理,0
ウェザーボール,ノーマル,50,100,10,特殊,0
うずしお,みず,35,85,15,特殊,0
うそなき,あく,0,100,20,変化,0
うたう,ノーマル,0,55,15,変化,0
うちおとす,いわ,50,100,15,物理,0
ウッドハンマー,くさ,120,100,15,物理,0
ウッドホーン,くさ,75,100,10,物理,0
うらみ,ゴースト,0,100,10,変化,0
エアカッター,ひこう,55,95,25,特殊,0
エアスラッシュ,ひこう,75,95,20,特殊,0
エアロブラスト,ひこう,100,95,5,特殊,0
エコーボイス,ノーマル,40,100,15,特殊,0
エナジーボール,くさ,80,100,10,特殊,0
エレキネット,でんき,55,95,15,特殊,0
エレキボール,でんき,1,100,10,特殊,0
えんまく,ノーマル,0,100,20,変化,0
おいうち,あく,40,100,20,物理,0
おいかぜ,ひこう,0,0,30,変化,0
おうふくビンタ,ノーマル,15,85,10,物理,0
オウムがえし,ひこう,0,0,20,変化,0
オーバーヒート,ほのお,140,90,5,特殊,0
オーロラビーム,こおり,65,100,20,特殊,0
おきみやげ,あく,0,100,10,変化,0
オクタンほう,みず,65,85,10,特殊,0
おさきにどうぞ,ノーマル,0,0,15,変化,0
おしおき,あく,1,100,5,物理,0
おしゃべり,ひこう,60,100,20,特殊,0
おだてる,あく,0,100,15,変化,0
おどろかす,ゴースト,30,100,15,物理,0
おにび,ほのお,0,75,15,変化,0
おまじない,ノーマル,0,0,30,変化,0
おんがえし,ノーマル,1,100,20,物理,0
おんねん,ゴースト,0,0,5,変化,0
ガードシェア,エスパー,0,0,10,変化,0
ガードスワップ,エスパー,0,0,10,変化,0
かいふくしれい,むし,0,0,10,変化,0
かいふくふうじ,エスパー,0,100,15,変化,0
かいりき,ノーマル,80,100,15,物理,0
カウンター,かくとう,1,100,20,物理,-5
かえんぐるま,ほのお,60,100,25,物理,0
かえんだん,ほのお,100,100,5,特殊,0
かえんほうしゃ,ほのお,95,100,15,特殊,0
かぎわける,ノーマル,0,0,40,変化,0
かくばる,ノーマル,0,0,30,変化,0
かげうち,ゴースト,40,100,30,物理,+1
かげぶんしん,ノーマル,0,0,15,変化,0
かぜおこし,ひこう,40,100,35,特殊,0
かたきうち,ノーマル,70,100,5,物理,0
かたくなる,ノーマル,0,0,30,変化,0
かなしばり,ノーマル,0,100,20,変化,0
かまいたち,ノーマル,80,100,10,特殊,0
がまん,ノーマル,1,100,10,物理,+1
かみくだく,あく,80,100,15,物理,0
かみつく,あく,60,100,25,物理,0
かみなり,でんき,120,70,10,特殊,0
かみなりのキバ,でんき,65,95,15,物理,0
かみなりパンチ,でんき,75,100,15,物理,0
がむしゃら,ノーマル,1,100,5,物理,0
からげんき,ノーマル,70,100,20,物理,0
からてチョップ,かくとう,50,100,25,物理,0
からではさむ,みず,35,75,10,物理,0
からにこもる,みず,0,0,40,変化,0
からみつく,ノーマル,10,100,35,物理,0
からをやぶる,ノーマル,0,0,15,変化,0
かわらわり,かくとう,75,100,15,物理,0
がんせきふうじ,いわ,50,80,10,物理,0
がんせきほう,いわ,150,90,5,物理,0
きあいだま,かくとう,120,70,5,特殊,0
きあいだめ,ノーマル,0,0,30,変化,0
きあいパンチ,かくとう,150,100,20,物理,-3
ギアソーサー,はがね,50,85,15,物理,0
ギアチェンジ,はがね,0,0,10,変化,0
ギガインパクト,ノーマル,150,90,5,物理,0
ギガドレイン,くさ,75,100,10,特殊,0
きしかいせい,かくとう,1,100,15,物理,0
きつけ,ノーマル,60,100,10,物理,0
キノコのほうし,くさ,0,100,15,変化,0
ギフトパス,ノーマル,0,0,15,変化,0
きゅうけつ,むし,20,100,15,物理,0
きりさく,ノーマル,70,100,20,物理,0
きりばらい,ひこう,0,0,15,変化,0
きりふだ,ノーマル,1,0,5,特殊,0
ぎんいろのかぜ,むし,60,100,5,特殊,0
きんぞくおん,はがね,0,85,40,変化,0
くさのちかい,くさ,50,100,10,特殊,0
くさぶえ,くさ,0,55,15,変化,0
くさむすび,くさ,1,100,20,特殊,0
くすぐる,ノーマル,0,100,20,変化,0
クモのす,むし,0,0,10,変化,0
グラスミキサー,くさ,65,90,10,特殊,0
クラブハンマー,みず,90,90,10,物理,0
クリアスモッグ,どく,50,0,15,特殊,0
くろいきり,こおり,0,0,30,変化,0
くろいまなざし,ノーマル,0,0,5,変化,0
クロスサンダー,でんき,100,100,5,物理,0
クロスチョップ,かくとう,100,80,5,物理,0
クロスフレイム,ほのお,100,100,5,特殊,0
クロスポイズン,どく,70,100,20,物理,0
げきりん,ドラゴン,120,100,10,物理,0
けたぐり,かくとう,1,100,20,物理,0
げんしのちから,いわ,60,100,5,特殊,0
こうげきしれい,むし,90,100,15,物理,0
こうごうせい,くさ,0,0,5,変化,0
こうそくいどう,エスパー,0,0,30,変化,0
こうそくスピン,ノーマル,20,100,40,物理,0
こおりのいぶき,こおり,40,90,10,特殊,0
こおりのキバ,こおり,65,95,15,物理,0
こおりのつぶて,こおり,40,100,30,物理,+1
コールドフレア,こおり,140,90,5,特殊,0
