名前,タイプ,威力,命中,PP,分類,"優先度
"
10まんボルト,でんき,95,100,15,特殊,"0
"
あくまのキッス,ノーマル,0,75,10,変化,"0
"
あなをほる,じめん,100,100,10,物理,"0
"
あばれる,ノーマル,90,100,20,物理,"0
"
あやしいひかり,ゴースト,0,100,10,変化,"0
"
あわ,みず,20,100,30,特殊,"0
"
いあいぎり,ノーマル,50,95,30,物理,"0
"
いかり,ノーマル,20,100,20,物理,"0
"
いかりのまえば,ノーマル,1,90,10,物理,"0
"
いとをはく,むし,0,95,40,変化,"0
"
いやなおと,ノーマル,0,85,40,変化,"0
"
いわおとし,いわ,50,65,15,物理,"0
"
いわなだれ,いわ,75,90,10,物理,"0
"
うたう,ノーマル,0,55,15,変化,"0
"
えんまく,ノーマル,0,100,20,変化,"0
"
おうふくビンタ,ノーマル,15,85,10,物理,"0
"
オウムがえし,ひこう,0,0,20,変化,"0
"
オーロラビーム,こおり,65,100,20,特殊,"0
"
かいりき,ノーマル,80,100,15,物理,"0
"
カウンター,かくとう,1,100,20,物理,"-1
"
かえんほうしゃ,ほのお,95,100,15,特殊,"0
"
かくばる,ノーマル,0,0,30,変化,"0
"
かげぶんしん,ノーマル,0,0,15,変化,"0
"
かぜおこし,ノーマル,40,100,35,物理,"0
"
かたくなる,ノーマル,0,0,30,変化,"0
"
かなしばり,ノーマル,0,55,20,変化,"0
"
かまいたち,ノーマル,80,75,10,物理,"0
"
がまん,ノーマル,1,0,10,物理,"0
"
かみつく,ノーマル,60,100,25,物理,"0
"
かみなり,でんき,120,70,10,特殊,"0
"
かみなりパンチ,でんき,75,100,15,特殊,"0
"
からてチョップ,ノーマル,50,100,25,物理,"0
"
からではさむ,みず,35,75,10,特殊,"0
"
からにこもる,みず,0,0,40,変化,"0
"
からみつく,ノーマル,10,100,35,物理,"0
"
きあいだめ,ノーマル,0,0,30,変化,"0
"
キノコのほうし,くさ,0,100,15,変化,"0
"
きゅうけつ,むし,20,100,15,物理,"0
"
きりさく,ノーマル,70,100,20,物理,"0
"
クラブハンマー,みず,90,85,10,特殊,"0
"
くろいきり,こおり,0,0,30,変化,"0
"
けたぐり,かくとう,50,90,20,物理,"0
"
こうそくいどう,エスパー,0,0,30,変化,"0
"
ゴッドバード,ひこう,140,90,5,物理,"0
"
サイケこうせん,エスパー,65,100,20,特殊,"0
"
サイコウェーブ,エスパー,1,80,15,特殊,"0
"
サイコキネシス,エスパー,90,100,10,特殊,"0
"
さいみんじゅつ,エスパー,0,60,20,変化,"0
"
じごくぐるま,かくとう,80,80,25,物理,"0
"
じこさいせい,ノーマル,0,0,20,変化,"0
"
じしん,じめん,100,100,10,物理,"0
"
したでなめる,ゴースト,20,100,30,物理,"0
"
しっぽをふる,ノーマル,0,100,30,変化,"0
"
じばく,ノーマル,130,100,5,物理,"0
"
しびれごな,くさ,0,75,30,変化,"0
"
しめつける,ノーマル,15,75,20,物理,"0
"
しろいきり,こおり,0,0,30,変化,"0
"
じわれ,じめん,1,30,5,物理,"0
"
すいとる,くさ,20,100,20,特殊,"0
"
ずつき,ノーマル,70,100,15,物理,"0
"
すてみタックル,ノーマル,100,100,15,物理,"0
"
すなかけ,ノーマル,0,100,15,変化,"0
"
スピードスター,ノーマル,60,100,20,物理,"0
"
スプーンまげ,エスパー,0,80,15,変化,"0
"
スモッグ,どく,20,70,20,物理,"0
"
せいちょう,ノーマル,0,0,20,変化,"0
"
ソーラービーム,くさ,120,100,10,特殊,"0
"
ソニックブーム,ノーマル,1,90,20,物理,"0
"
