name,type,power,accuracy,pp,species,priority
10まんボルト,でんき,95,100,15,特殊,0
アイアンテール,はがね,100,75,15,物理,0
あくまのキッス,ノーマル,0,75,10,変化,0
あくむ,ゴースト,0,100,15,変化,0
あさのひざし,ノーマル,0,0,5,変化,0
あてみなげ,かくとう,70,0,10,物理,-1
あなをほる,じめん,60,100,10,物理,0
あばれる,ノーマル,90,100,20,物理,0
あまいかおり,ノーマル,0,100,20,変化,0
あまえる,ノーマル,0,100,20,変化,0
あまごい,みず,0,0,5,変化,0
あやしいひかり,ゴースト,0,100,10,変化,0
あわ,みず,20,100,30,特殊,0
アンコール,ノーマル,0,100,5,変化,0
いあいぎり,ノーマル,50,95,30,物理,0
いかり,ノーマル,20,100,20,物理,0
いかりのまえば,ノーマル,1,90,10,物理,0
いたみわけ,ノーマル,0,100,20,変化,0
いとをはく,むし,0,95,40,変化,0
いばる,ノーマル,0,90,15,変化,0
いびき,ノーマル,40,100,15,物理,0
いやしのすず,ノーマル,0,0,5,変化,0
いやなおと,ノーマル,0,85,40,変化,0
いわおとし,いわ,50,90,15,物理,0
いわくだき,かくとう,20,100,15,物理,0
いわなだれ,いわ,75,90,10,物理,0
うずしお,みず,15,70,15,特殊,0
うたう,ノーマル,0,55,15,変化,0
うらみ,ゴースト,0,100,10,変化,0
エアロブラスト,ひこう,100,95,5,物理,0
えんまく,ノーマル,0,100,20,変化,0
おいうち,あく,40,100,20,特殊,0
おうふくビンタ,ノーマル,15,85,10,物理,0
オウムがえし,ひこう,0,0,20,変化,0
オーロラビーム,こおり,65,100,20,特殊,0
オクタンほう,みず,65,85,10,特殊,0
おんがえし,ノーマル,1,100,20,物理,0
かいりき,ノーマル,80,100,15,物理,0
カウンター,かくとう,1,100,20,物理,-1
かえんぐるま,ほのお,60,100,25,特殊,0
かえんほうしゃ,ほのお,95,100,15,特殊,0
かくばる,ノーマル,0,0,30,変化,0
かげぶんしん,ノーマル,0,0,15,変化,0
かぜおこし,ひこう,40,100,35,物理,0
かたくなる,ノーマル,0,0,30,変化,0
かなしばり,ノーマル,0,55,20,変化,0
かまいたち,ノーマル,80,75,10,物理,0
がまん,ノーマル,1,100,10,物理,0
かみくだく,あく,80,100,15,特殊,0
かみつく,あく,60,100,25,特殊,0
かみなり,でんき,120,70,10,特殊,0
かみなりパンチ,でんき,75,100,15,特殊,0
からてチョップ,かくとう,50,100,25,物理,0
からではさむ,みず,35,75,10,特殊,0
からにこもる,みず,0,0,40,変化,0
からみつく,ノーマル,10,100,35,物理,0
きあいだめ,ノーマル,0,0,30,変化,0
ギガドレイン,くさ,60,100,5,特殊,0
きしかいせい,かくとう,1,100,15,物理,0
キノコのほうし,くさ,0,100,15,変化,0
きゅうけつ,むし,20,100,15,物理,0
きりさく,ノーマル,70,100,20,物理,0
クモのす,むし,0,0,10,変化,0
クラブハンマー,みず,90,85,10,特殊,0
くろいきり,こおり,0,0,30,変化,0
くろいまなざし,ノーマル,0,0,5,変化,0
クロスチョップ,かくとう,100,80,5,物理,0
げきりん,ドラゴン,90,100,15,特殊,0
けたぐり,かくとう,50,90,20,物理,0
げんしのちから,いわ,60,100,5,物理,0
こうごうせい,くさ,0,0,5,変化,0
こうそくいどう,エスパー,0,0,30,変化,0
こうそくスピン,ノーマル,20,100,40,物理,0
こごえるかぜ,こおり,55,95,15,特殊,0
こころのめ,ノーマル,0,100,5,変化,0
ゴッドバード,ひこう,140,90,5,物理,0
こなゆき,こおり,40,100,25,特殊,0
こらえる,ノーマル,0,0,10,変化,+2
ころがる,いわ,30,90,20,物理,0
こわいかお,ノーマル,0,90,10,変化,0
サイケこうせん,エスパー,65,100,20,特殊,0
サイコウェーブ,エスパー,1,80,15,特殊,0
サイコキネシス,エスパー,90,100,10,特殊,0
さいみんじゅつ,エスパー,0,60,20,変化,0
じこあんじ,ノーマル,0,0,10,変化,0
じごくぐるま,かくとう,80,80,25,物理,0
じこさいせい,ノーマル,0,0,20,変化,0
じしん,じめん,100,100,10,物理,0
したでなめる,ゴースト,20,100,30,物理,0
じたばた,ノーマル,1,100,15,物理,0
しっぽをふる,ノーマル,0,100,30,変化,0
じばく,ノーマル,200,100,5,物理,0
しびれごな,くさ,0,75,30,変化,0
しめつける,ノーマル,15,75,20,物理,0
シャドーボール,ゴースト,80,100,15,物理,0
しろいきり,こおり,0,0,30,変化,0
じわれ,じめん,1,30,5,物理,0
しんそく,ノーマル,80,100,5,物理,+1
しんぴのまもり,ノーマル,0,0,25,変化,0
すいとる,くさ,20,100,20,特殊,0
スケッチ,ノーマル,0,0,1,変化,0
ずつき,ノーマル,70,100,15,物理,0
すてみタックル,ノーマル,120,100,15,物理,0
すなあらし,いわ,0,0,10,変化,0
すなかけ,じめん,0,100,15,変化,0
スパーク,でんき,65,100,20,特殊,0
スピードスター,ノーマル,60,0,20,物理,0
スプーンまげ,エスパー,0,80,15,変化,0
スモッグ,どく,20,70,20,物理,0
せいちょう,ノーマル,0,0,20,変化,0
せいなるほのお,ほのお,100,95,5,特殊,0
ソーラービーム,くさ,120,100,10,特殊,0
ソニックブーム,ノーマル,1,90,20,物理,0
そらをとぶ,ひこう,70,95,15,物理,0
たいあたり,ノーマル,35,95,35,物理,0
だいばくはつ,ノーマル,250,100,5,物理,0
だいもんじ,ほのお,120,85,5,特殊,0
たきのぼり,みず,80,100,15,特殊,0
たたきつける,ノーマル,80,75,20,物理,0
たつまき,ドラゴン,40,100,20,特殊,0
ダブルニードル,むし,25,100,20,物理,0
タマゴうみ,ノーマル,0,0,10,変化,0
タマゴばくだん,ノーマル,100,75,10,物理,0
だましうち,あく,60,0,20,特殊,0
たまなげ,ノーマル,15,85,20,物理,0
ちいさくなる,ノーマル,0,0,20,変化,0
ちきゅうなげ,かくとう,1,100,20,物理,0
ちょうおんぱ,ノーマル,0,55,20,変化,0
つきのひかり,ノーマル,0,0,5,変化,0
つつく,ひこう,35,100,35,物理,0
つのでつく,ノーマル,65,100,25,物理,0
つのドリル,ノーマル,1,30,5,物理,0
つばさでうつ,ひこう,60,100,35,物理,0
つるぎのまい,ノーマル,0,0,30,変化,0
つるのムチ,くさ,35,100,10,特殊,0
テクスチャー,ノーマル,0,0,30,変化,0
テクスチャー2,ノーマル,0,0,30,変化,0
テレポート,エスパー,0,0,20,変化,0
でんきショック,でんき,40,100,30,特殊,0
でんこうせっか,ノーマル,40,100,30,物理,+1
てんしのキッス,ノーマル,0,75,10,変化,0
でんじは,でんき,0,100,20,変化,0
でんじほう,でんき,100,50,5,特殊,0
どくガス,どく,0,55,40,変化,0
どくどく,どく,0,85,10,変化,0
どくのこな,どく,0,75,35,変化,0
どくばり,どく,15,100,35,物理,0
とげキャノン,ノーマル,20,100,15,物理,0
とける,どく,0,0,40,変化,0
とっしん,ノーマル,90,85,20,物理,0
とびげり,かくとう,70,95,25,物理,0
とびひざげり,かくとう,85,90,20,物理,0
トライアタック,ノーマル,80,100,10,物理,0
トリプルキック,かくとう,10,90,10,物理,0
ドリルくちばし,ひこう,80,100,20,物理,0
どろかけ,じめん,20,100,10,物理,0
どろぼう,あく,40,100,10,特殊,0
ドわすれ,エスパー,0,0,20,変化,0
ナイトヘッド,ゴースト,1,100,15,物理,0
なきごえ,ノーマル,0,100,40,変化,0
なみのり,みず,95,100,15,特殊,0
にどげり,かくとう,30,100,30,物理,0
にほんばれ,ほのお,0,0,5,変化,0
にらみつける,ノーマル,0,100,30,変化,0
ねごと,ノーマル,0,0,10,変化,0
ネコにこばん,ノーマル,40,100,20,物理,0
ねむりごな,くさ,0,75,15,変化,0
ねむる,エスパー,0,0,10,変化,0
ねんりき,エスパー,50,100,25,特殊,0
のしかかり,ノーマル,85,100,15,物理,0
のろい,???,0,0,10,変化,0
ハイドロポンプ,みず,120,80,5,特殊,0
はかいこうせん,ノーマル,150,90,5,物理,0
はがねのつばさ,はがね,70,90,25,物理,0
ばくれつパンチ,かくとう,100,50,5,物理,0
ハサミギロチン,ノーマル,1,30,5,物理,0
はさむ,ノーマル,55,100,30,物理,0
はたく,ノーマル,40,100,35,物理,0
はっぱカッター,くさ,55,95,25,特殊,0
バトンタッチ,ノーマル,0,0,40,変化,0
はなびらのまい,くさ,70,100,20,特殊,0
はねる,ノーマル,0,0,40,変化,0
バブルこうせん,みず,65,100,20,特殊,0
はらだいこ,ノーマル,0,0,10,変化,0
バリアー,エスパー,0,0,30,変化,0
ひかりのかべ,エスパー,0,0,30,変化,0
ひっかく,ノーマル,40,100,35,物理,0
ひっさつまえば,ノーマル,80,90,15,物理,0
ひのこ,ほのお,40,100,25,特殊,0
ピヨピヨパンチ,ノーマル,70,100,10,物理,0
ふきとばし,ノーマル,0,100,20,変化,-1
ふくろだたき,あく,10,100,10,特殊,0
ふぶき,こおり,120,70,5,特殊,0
ふみつけ,ノーマル,65,100,20,物理,0
フラッシュ,ノーマル,0,70,20,変化,0
プレゼント,ノーマル,1,90,15,物理,0
ヘドロこうげき,どく,65,100,20,物理,0
ヘドロばくだん,どく,90,100,10,物理,0
へびにらみ,ノーマル,0,75,30,変化,0
へんしん,ノーマル,0,0,10,変化,0
ほえる,ノーマル,0,100,20,変化,-1
ボーンラッシュ,じめん,25,80,10,物理,0
ホネこんぼう,じめん,65,85,20,物理,0
ホネブーメラン,じめん,50,90,10,物理,0
ほのおのうず,ほのお,15,70,15,特殊,0
ほのおのパンチ,ほのお,75,100,15,特殊,0
ほろびのうた,ノーマル,0,0,5,変化,0
まきつく,ノーマル,15,85,20,物理,0
まきびし,じめん,0,0,20,変化,0
マグニチュード,じめん,1,100,30,物理,0
マッハパンチ,かくとう,40,100,30,物理,+1
まもる,ノーマル,0,0,10,変化,+2
まるくなる,ノーマル,0,0,40,変化,0
まわしげり,かくとう,60,85,15,物理,0
みがわり,ノーマル,0,0,10,変化,0
みきり,かくとう,0,0,5,変化,+2
ミサイルばり,むし,14,85,20,物理,0
みずでっぽう,みず,40,100,25,特殊,0
みだれづき,ノーマル,15,85,20,物理,0
みだれひっかき,ノーマル,18,80,15,物理,0
みちづれ,ゴースト,0,0,5,変化,0
みねうち,ノーマル,40,100,40,物理,0
みやぶる,ノーマル,0,100,40,変化,0
ミラーコート,エスパー,1,100,20,特殊,-1
みらいよち,エスパー,80,90,15,特殊,0
ミルクのみ,ノーマル,0,0,10,変化,0
メガドレイン,くさ,40,100,10,特殊,0
メガトンキック,ノーマル,120,75,5,物理,0
メガトンパンチ,ノーマル,80,85,20,物理,0
